"|","|__SL.NO","|__STATEUT","|__MEDIUM_ENTERPRISES_-_2015-16_SINCE_SEPT._2015","|__MEDIUM_ENTERPRISES_-_2016-17","|__MEDIUM_ENTERPRISES_-_2017-18_AS_ON_8.3.2018"
"ROW1","1","Andhra Pradesh","102","294","211"
"ROW2","2","Arunachal Pradesh","2","5","4"
"ROW3","3","Assam","8","24","26"
"ROW4","4","Bihar","77","500","112"
"ROW5","5","Chhattisgarh","33","64","43"
"ROW6","6","Goa","25","17","15"
"ROW7","7","Gujarat","492","1207","937"
"ROW8","8","Haryana","98","450","210"
"ROW9","9","Himachal Pradesh","18","64","38"
"ROW10","10","Jammu and Kashmir","1","16","13"
"ROW11","11","Jharkhand","26","64","59"
"ROW12","12","Karnataka","134","483","416"
"ROW13","13","Kerala","46","151","117"
"ROW14","14","Madhya Pradesh","105","243","246"
"ROW15","15","Maharashtra","530","1526","1209"
"ROW16","16","Manipur","4","11","13"
"ROW17","17","Meghalaya","0","2","0"
"ROW18","18","Mizoram","0","5","9"
"ROW19","19","Nagaland","0","1","1"
"ROW20","20","Odisha","33","99","79"
"ROW21","21","Punjab","58","208","131"
"ROW22","22","Rajasthan","189","424","342"
"ROW23","23","Sikkim","0","9","10"
"ROW24","24","Tamil Nadu","160","779","521"
"ROW25","25","Telangana","130","408","337"
"ROW26","26","Tripura","2","6","4"
"ROW27","27","Uttar Pradesh","127","914","414"
"ROW28","28","Uttarakhand","36","87","44"
"ROW29","29","West Bengal","57","224","157"
"ROW30","30","Andaman and Nicobar Islands","2","15","9"
"ROW31","31","Chandigarh","3","10","27"
"ROW32","32","Dadar and Nagar Haveli","9","17","7"
"ROW33","33","Daman and Diu","10","10","11"
"ROW34","34","Delhi","33","190","199"
"ROW35","35","Lakshadweep","0","0","0"
"ROW36","36","Puducherry","2","23","8"
