"|","|__SL._NO.","|__STATESUTS","|__TOTAL_UAM","|__GENERAL","|__SC","|__ST","|__OBC"
"ROW1","1","Andhra Pradesh","257062","87237","51300","14729","103796"
"ROW2","2","Arunachal Pradesh","903","125","21","727","30"
"ROW3","3","Assam","5942","3934","382","465","1161"
"ROW4","4","Bihar","812521","185215","137312","35285","454709"
"ROW5","5","Chhattisgarh","30957","16661","2188","1313","10795"
"ROW6","6","Goa","4712","4137","87","53","435"
"ROW7","7","Gujarat","577780","518839","10429","4174","44338"
"ROW8","8","Haryana","96901","73019","8098","193","15591"
"ROW9","9","Himachal Pradesh","8132","6218","974","358","582"
"ROW10","10","Jammu and Kashmir","5523","5005","131","159","228"
"ROW11","11","Jharkhand","113159","49992","8184","7668","47315"
"ROW12","12","Karnataka","184690","110750","13746","4599","55595"
"ROW13","13","Kerala","77767","38130","3287","221","36129"
"ROW14","14","Madhya Pradesh","550164","214900","64773","47700","222791"
"ROW15","15","Maharashtra","909556","630978","75389","20525","182664"
"ROW16","16","Manipur","22208","15729","665","3329","2485"
"ROW17","17","Meghalaya","1488","180","9","1283","16"
"ROW18","18","Mizoram","1812","126","10","1674","2"
"ROW19","19","Nagaland","620","95","7","505","13"
"ROW20","20","Odisha","80930","44840","11631","2450","22009"
"ROW21","21","Punjab","102425","86672","8572","119","7062"
"ROW22","22","Rajasthan","363164","198675","27935","9809","126745"
"ROW23","23","Sikkim","541","257","19","150","115"
"ROW24","24","Tamil Nadu","716820","424793","34411","1891","255725"
"ROW25","25","Telangana","192749","85021","34538","19231","53959"
"ROW26","26","Tripura","3789","1703","419","910","757"
"ROW27","27","Uttar Pradesh","666978","253216","112133","17049","284580"
"ROW28","28","Uttarakhand","19618","14619","1520","401","3078"
"ROW29","29","West Bengal","159388","118860","23468","4644","12416"
"ROW30","30","Andaman and Nicobar Islands","4224","3373","59","19","773"
"ROW31","31","Chandigarh","5712","5214","232","16","250"
"ROW32","32","Dadra and Nagar Haveli","2810","2498","44","97","171"
"ROW33","33","Daman and Diu","1489","1342","32","18","97"
"ROW34","34","Delhi","83987","73516","4079","274","6118"
"ROW35","35","Lakshadweep","64","3","0","60","1"
"ROW36","36","Puducherry","6316","2749","432","10","3125"
